"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","21","891","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","21","2","2","1","11.677659","0","3"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","21","4","1","1","18.760729","0","13"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","21","2","2","1","12.075628","0","3"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","21","2","2","1","6.295626","0","3"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","21","17","2","1","77.946983","0","167"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","21","4","2","1","7.727701","0","11"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","21","2","2","1","4.481713","0","3"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","21","2","2","1","7.585490","0","3"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","21","20","1","1","51.519672","0","229"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","21","4","1","1","4.724084","0","13"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","21","8","1","1","9.038640","0","43"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","21","2","2","1","3.039150","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","21","30","1","1","69.205437","0","466"
"/Engine/VREditor/TransformGizmo/Xray.Xray","21","15","1","1","32.961823","0","134"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","21","2","2","1","2.243156","0","3"
"/Engine/VREditor/TransformGizmo/Main.Main","21","2","2","1","2.518409","0","3"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","21","2","2","1","2.411480","0","3"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","21","60","1","1","146.033325","0","1772"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","21","60","1","1","141.657623","0","1741"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","21","60","1","1","151.578079","0","1436"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","21","30","1","1","76.116829","0","329"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","21","2","2","1","2.887970","0","3"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","21","28","3","3","60.182800","0","178"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","21","4","1","1","5.278287","0","13"
"/ControlRig/M_Manip.M_Manip","21","4","1","1","6.830496","0","13"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","21","4","1","1","3.997885","0","13"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","21","2","2","1","2.721418","0","3"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","21","26","14","6","54.920593","0","73"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","21","10","1","1","15.720098","0","47"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","21","6","1","1","6.794353","0","26"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","21","77","1","1","118.855362","0","1349"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","21","210","1","1","521.241211","0","7814"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","21","598","2","1","1421.719604","0","32075"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","21","21","1","1","44.277496","0","189"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","21","4","1","1","4.437363","0","13"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","21","4","1","1","3.711937","0","13"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","21","2","2","1","2.227270","0","3"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","21","102","1","1","310.020081","0","2422"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","21","42","1","1","148.050659","0","425"
"Globals","24","891","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","24","2","2","1","3.357614","0","3"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","24","4","1","1","6.678027","0","10"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","24","2","2","1","3.995325","0","2"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","24","2","2","1","3.172113","0","2"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","24","26","19","6","40.033852","0","67"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","24","2","2","1","4.014151","0","2"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","24","28","15","3","49.047417","0","160"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","24","17","1","1","37.831814","0","112"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","24","4","1","1","4.381108","0","13"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","24","2","2","1","2.650788","0","3"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","24","42","6","1","110.217545","0","311"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","24","20","8","1","46.832954","0","87"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","24","4","1","1","4.238956","0","10"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","24","8","2","1","8.885587","0","37"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","24","2","2","1","2.367591","0","2"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","24","2","2","1","2.152523","0","3"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","24","4","4","1","3.721608","0","7"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","24","4","4","1","3.631302","0","7"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","24","102","2","1","253.733200","0","1095"
